date,0,1,2,3,4,total,mean
2000-08-07 00:06:00,0,0,0,2,0,2,0.4
2000-08-07 02:14:00,2,0,0,0,0,2,0.4
2000-08-07 05:43:00,0,0,0,2,0,2,0.4
2000-08-08 09:27:00,2,0,0,0,0,2,0.4
2000-08-08 09:30:00,2,0,0,0,0,2,0.4
2000-08-08 09:31:00,2,0,0,0,0,2,0.4
2000-08-09 06:28:00,0,0,0,2,0,2,0.4
2000-08-09 06:36:00,1,0,0,0,0,1,0.2
2000-08-09 07:11:00,0,0,2,0,0,2,0.4
2000-08-09 07:12:00,0,0,0,2,0,2,0.4
2000-08-10 01:52:00,2,0,0,0,0,2,0.4
2000-08-10 05:36:00,2,0,0,0,0,2,0.4
2000-08-10 15:02:00,2,0,0,0,0,2,0.4
2000-08-15 05:37:00,0,0,2,0,0,2,0.4
2000-08-16 03:57:00,0,0,0,2,0,2,0.4
2000-08-16 03:59:00,0,0,0,0,2,2,0.4
2000-08-16 05:35:00,2,0,0,0,0,2,0.4
2000-08-17 08:53:00,0,0,2,0,0,2,0.4
2000-08-20 10:38:00,2,0,0,0,0,2,0.4
2000-08-20 10:39:00,4,0,0,0,0,4,0.8
2000-08-21 09:40:00,0,0,2,0,0,2,0.4
2000-08-22 07:44:00,0,0,0,0,1,1,0.2
2000-08-22 08:22:00,0,0,0,0,2,2,0.4
2000-08-23 04:25:00,2,0,0,0,0,2,0.4
2000-08-23 07:09:00,0,0,0,2,0,2,0.4
2000-08-23 08:22:00,1,0,0,0,0,1,0.2
2000-08-23 08:23:00,0,0,0,0,2,2,0.4
2000-08-24 02:48:00,0,0,0,0,2,2,0.4
2000-08-25 01:47:00,0,0,2,0,0,2,0.4
2000-08-25 01:58:00,2,0,0,0,0,2,0.4
2000-08-25 03:30:00,0,0,2,0,0,2,0.4
2000-08-25 04:03:00,0,0,2,0,0,2,0.4
2000-08-25 06:32:00,0,0,2,0,0,2,0.4
2000-08-28 06:07:00,0,0,0,2,0,2,0.4
2000-08-28 06:12:00,0,0,2,0,0,2,0.4
2000-08-28 06:40:00,2,0,0,0,0,2,0.4
2000-08-28 09:30:00,2,0,0,0,0,2,0.4
2000-08-29 05:38:00,0,0,2,0,0,2,0.4
2000-08-29 09:20:00,0,0,2,0,0,2,0.4
2000-08-30 06:20:00,2,0,0,0,0,2,0.4
2000-08-30 08:14:00,2,0,0,0,0,2,0.4
2000-08-31 03:17:00,2,0,0,0,0,2,0.4
2000-08-31 04:17:00,0,0,1,0,0,1,0.2
2000-08-31 05:02:00,2,0,0,0,0,2,0.4
2000-08-31 05:07:00,1,0,0,0,0,1,0.2
2000-08-31 06:14:00,0,0,0,0,2,2,0.4
2000-08-31 06:54:00,0,0,0,2,0,2,0.4
2000-08-31 07:36:00,0,0,2,0,0,2,0.4
2000-09-01 06:08:00,2,0,0,0,0,2,0.4
2000-09-05 06:30:00,2,0,0,0,0,2,0.4
2000-09-05 06:51:00,2,0,0,0,0,2,0.4
2000-09-05 23:22:00,2,0,0,0,0,2,0.4
2000-09-06 03:46:00,2,0,0,0,0,2,0.4
2000-09-06 04:46:00,2,0,0,0,0,2,0.4
2000-09-06 06:04:00,2,0,0,0,0,2,0.4
2000-09-06 07:00:00,0,0,0,2,0,2,0.4
2000-09-06 07:02:00,0,0,0,2,0,2,0.4
2000-09-06 08:54:00,2,0,0,0,0,2,0.4
2000-09-08 05:29:00,2,0,0,0,0,2,0.4
2000-09-08 05:30:00,0,0,0,2,0,2,0.4
2000-09-11 02:19:00,2,0,0,0,0,2,0.4
2000-09-11 07:16:00,0,2,0,0,0,2,0.4
2000-09-11 08:07:00,2,0,0,0,0,2,0.4
2000-09-11 09:30:00,0,0,2,0,0,2,0.4
2000-09-11 09:57:00,2,0,0,0,0,2,0.4
2000-09-12 00:27:00,0,0,2,0,0,2,0.4
2000-09-12 04:23:00,0,0,0,0,2,2,0.4
2000-09-12 06:06:00,2,0,0,0,0,2,0.4
2000-09-12 06:42:00,2,0,0,0,0,2,0.4
2000-09-13 06:02:00,0,0,0,0,2,2,0.4
2000-09-18 02:34:00,0,2,0,0,0,2,0.4
2000-09-19 03:15:00,2,0,0,0,0,2,0.4
2000-09-19 07:26:00,0,2,0,0,0,2,0.4
2000-09-19 09:35:00,2,0,0,0,0,2,0.4
2000-09-20 06:34:00,2,0,0,0,0,2,0.4
2000-09-20 08:06:00,2,0,0,0,0,2,0.4
2000-09-22 00:06:00,2,0,0,0,0,2,0.4
2000-09-25 05:47:00,0,0,0,0,2,2,0.4
2000-09-25 07:01:00,0,0,0,4,0,4,0.8
2000-09-25 07:04:00,0,0,0,0,2,2,0.4
2000-09-26 04:57:00,2,0,0,0,0,2,0.4
2000-09-26 05:07:00,0,0,0,2,0,2,0.4
2000-09-26 05:08:00,0,0,0,2,0,2,0.4
2000-09-26 05:11:00,2,0,0,0,0,2,0.4
2000-09-26 07:01:00,0,0,0,0,2,2,0.4
2000-09-26 09:26:00,2,0,0,0,0,2,0.4
2000-09-26 09:28:00,2,0,0,0,0,2,0.4
2000-09-28 05:56:00,0,2,0,0,0,2,0.4
2000-09-28 06:17:00,0,0,0,2,0,2,0.4
2000-10-02 02:19:00,2,0,0,0,0,2,0.4
2000-10-03 03:17:00,0,0,0,2,0,2,0.4
2000-10-03 09:13:00,0,0,2,0,0,2,0.4
2000-10-03 09:15:00,0,0,0,0,2,2,0.4
2000-10-03 09:30:00,2,0,0,0,0,2,0.4
2000-10-04 09:23:00,0,0,0,0,2,2,0.4
2000-10-05 05:55:00,0,0,2,0,0,2,0.4
2000-10-05 06:26:00,0,0,2,0,0,2,0.4
2000-10-09 07:00:00,0,0,0,2,0,2,0.4
2000-10-09 07:16:00,0,0,0,2,0,2,0.4
2000-10-13 06:45:00,1,0,0,0,0,1,0.2
2000-10-16 06:42:00,0,0,0,0,1,1,0.2
2000-10-16 06:44:00,0,0,0,1,0,1,0.2
2000-10-17 02:26:00,1,0,0,0,0,1,0.2
2000-10-18 03:00:00,0,0,0,0,1,1,0.2
2000-10-18 07:44:00,0,0,1,0,0,1,0.2
2000-10-20 03:06:00,0,1,0,0,0,1,0.2
2000-10-23 06:13:00,0,0,0,1,0,1,0.2
2000-10-23 08:55:00,1,0,0,0,0,1,0.2
2000-10-24 05:16:00,1,0,0,0,0,1,0.2
2000-10-24 05:52:00,0,0,0,1,0,1,0.2
2000-10-24 06:29:00,0,1,0,0,0,1,0.2
2000-10-24 07:50:00,0,0,1,0,0,1,0.2
2000-10-24 09:49:00,1,0,0,0,0,1,0.2
2000-10-25 09:08:00,0,0,0,1,0,1,0.2
2000-10-25 10:31:00,0,0,1,0,0,1,0.2
2000-10-27 00:17:00,1,0,0,0,0,1,0.2
2000-10-27 03:30:00,1,0,0,0,0,1,0.2
2000-10-27 03:59:00,1,0,0,0,0,1,0.2
